,ts,ne,mf,score,mae,time
0,0.1,0,sqrt,-0.40991966778311184,0.05467926980890605,0.14066309994086623
1,0.1,0,log2,-0.41970928246472683,0.054910082178362456,0.10859630000777543
2,0.1,0,,-0.4342932696045796,0.05543257348295592,0.33131169993430376
3,0.1,1,sqrt,-0.03249402261873735,0.04867070808002993,0.12412599986419082
4,0.1,1,log2,-0.051652271773729996,0.05002461625075657,0.1304762999061495
5,0.1,1,,-0.016754866738704965,0.050663152042119304,0.4350753999315202
6,0.1,2,sqrt,0.1855365251577521,0.04489662758670382,0.19210149999707937
7,0.1,2,log2,0.20158185232041526,0.04479344347255613,0.19649769994430244
8,0.1,2,,0.13606394245637599,0.046675882796564414,0.5279987999238074
9,0.1,3,sqrt,0.24042624247985878,0.04251753168186128,0.3478256000671536
10,0.1,3,log2,0.2786928259940472,0.042099205299495734,0.3645401999820024
11,0.1,3,,0.2592260763169796,0.04228364311804564,1.1445663999766111
12,0.1,4,sqrt,0.3161113328087859,0.039972238965858733,0.6608188000973314
13,0.1,4,log2,0.3367294994569343,0.040033565372671685,0.7144480000715703
14,0.1,4,,0.2667388221724267,0.04155384615842071,2.097976400051266
15,0.1,5,sqrt,0.35026499429754776,0.0385440107180618,1.3137295998167247
16,0.1,5,log2,0.3382957331421734,0.03866537023022165,1.2467542001977563
17,0.1,5,,0.33725258743698483,0.03906259444063074,5.993939199950546
18,0.1,6,sqrt,0.35437105302056093,0.03774035147788015,3.844655399909243
19,0.1,6,log2,0.3508379308009524,0.03775085793104492,2.6972556998953223
20,0.1,6,,0.32040917988364215,0.03907452850410825,9.195423200028017
21,0.1,7,sqrt,0.36489300164990346,0.03714429067365846,5.642201399896294
22,0.1,7,log2,0.36460645113122936,0.03726833941271521,5.89067230001092
23,0.1,7,,0.33622808380403824,0.038496397749653036,19.0717790001072
24,0.2,0,sqrt,-0.35960470008320544,0.054868369073962094,0.12356969993561506
25,0.2,0,log2,-0.2697532859167846,0.05319918771735464,0.11348309996537864
26,0.2,0,,-0.32418530769476317,0.05439750811207289,0.31055089994333684
27,0.2,1,sqrt,0.010468207985010913,0.049591295467827645,0.12893510004505515
28,0.2,1,log2,0.060094469208920365,0.04722261060497469,0.13031330006197095
29,0.2,1,,-0.09058651994253197,0.05196693769319292,0.4850912999827415
30,0.2,2,sqrt,0.21962941263828994,0.044342504468211925,0.20997449988499284
31,0.2,2,log2,0.18819840601524507,0.0445865795646686,0.19693149998784065
32,0.2,2,,0.15213266643050727,0.04601911847689093,0.49588660011067986
33,0.2,3,sqrt,0.2517293005320481,0.04242759611862793,0.3545094998553395
34,0.2,3,log2,0.2646935800342708,0.04252349834446765,0.3584151000250131
35,0.2,3,,0.2123035897934017,0.044299679318754594,0.9903367999941111
36,0.2,4,sqrt,0.32088128502414837,0.040360636826287,0.6857855999842286
37,0.2,4,log2,0.3059663712691627,0.040651003127724475,0.6105599000584334
38,0.2,4,,0.28151628995154176,0.04139381381835936,2.1609557000920177
39,0.2,5,sqrt,0.33441867371985823,0.03931312990973326,1.2109064999967813
40,0.2,5,log2,0.33331246038846274,0.039107426676453165,1.2787232000846416
41,0.2,5,,0.30683311051963114,0.04021638787103978,4.224059699801728
42,0.2,6,sqrt,0.3418023479819964,0.038373392839013226,2.782258199993521
43,0.2,6,log2,0.3433418880647964,0.03813373334320404,2.446201500017196
44,0.2,6,,0.3240000827970826,0.03920326650864334,8.649850100046024
45,0.2,7,sqrt,0.35011949268934983,0.03766563459912933,5.042405700078234
46,0.2,7,log2,0.357545025326777,0.03750889667601273,5.095032800221816
47,0.2,7,,0.3212399331411595,0.03896859496441005,16.68251769989729
48,0.3,0,sqrt,-0.48833369938541016,0.05368660332614471,0.1473674001172185
49,0.3,0,log2,-0.44091346615279914,0.05210056585876516,0.09349500015377998
50,0.3,0,,-0.49981917147146326,0.05475827656796673,0.2858494999818504
51,0.3,1,sqrt,-0.11246777757469562,0.049041816854550106,0.11303259991109371
52,0.3,1,log2,-0.0906997211772338,0.04779067553666736,0.11334079992957413
53,0.3,1,,-0.07623030828421484,0.04852786475458746,0.5475916999857873
54,0.3,2,sqrt,0.11709996078170448,0.04458178386641347,0.19271959993056953
55,0.3,2,log2,0.15259734127876368,0.04327314957641603,0.15329469996504486
56,0.3,2,,0.11211116457417714,0.04551577738830546,0.4587618999648839
57,0.3,3,sqrt,0.27042658128266306,0.0405945357524404,0.28953239996917546
58,0.3,3,log2,0.25447219085940054,0.040506976928591495,0.3082313002087176
59,0.3,3,,0.19037662678086764,0.042942896746821786,0.8503009998239577
60,0.3,4,sqrt,0.3135981268050656,0.03869999356628882,0.6122268000617623
61,0.3,4,log2,0.30618956018928245,0.03884536108386286,0.6155580000486225
62,0.3,4,,0.28539230641261937,0.039359077934679125,1.9595470998901874
63,0.3,5,sqrt,0.3352554029777405,0.037167287545719414,1.1400382998399436
64,0.3,5,log2,0.32118075722894246,0.03741109302279514,1.1603908999823034
65,0.3,5,,0.2924349357195366,0.03871913184484071,3.6880369000136852
66,0.3,6,sqrt,0.3413119920178116,0.03647391649107419,2.2107713997829705
67,0.3,6,log2,0.34033533635126023,0.03657163700945252,2.3932522998657078
68,0.3,6,,0.31938018541453894,0.0375419088693213,7.450058299815282
69,0.3,7,sqrt,0.3524667231961759,0.03582309895006521,4.798306300071999
70,0.3,7,log2,0.3481931952861894,0.0358773865329078,4.5262972000055015
71,0.3,7,,0.31785910483401636,0.03722032029026878,14.470931800082326
72,0.4,0,sqrt,-0.5563915799758279,0.055915094409982685,0.11281710001640022
73,0.4,0,log2,-0.47893742497587044,0.05483237987418206,0.09281569998711348
74,0.4,0,,-0.535763957321844,0.05575054887162707,0.2563141998834908
75,0.4,1,sqrt,-0.052432711540584265,0.04855075710616632,0.10206410009413958
76,0.4,1,log2,-0.057840381472739955,0.04933004047777933,0.11654780013486743
77,0.4,1,,-0.1088280950126419,0.05022025024397992,0.34580360003747046
78,0.4,2,sqrt,0.13628806824742723,0.04483301340812727,0.14082080009393394
79,0.4,2,log2,0.1375000484808213,0.045179701542651426,0.1546612000092864
80,0.4,2,,0.09252596973593619,0.046373672213423915,0.44444889994338155
81,0.4,3,sqrt,0.23747138914256727,0.04215299091113159,0.3668655001092702
82,0.4,3,log2,0.22272066445212335,0.042405106982729666,0.3300258999224752
83,0.4,3,,0.20070983585966107,0.042992577237108524,0.8512988998554647
84,0.4,4,sqrt,0.27527638176493563,0.040546337104579465,0.5145737999118865
85,0.4,4,log2,0.2842400407845518,0.040053713560097445,0.4903076998889446
86,0.4,4,,0.27340962032669536,0.040687523213938134,1.6088731000199914
87,0.4,5,sqrt,0.32322018518995543,0.038573648364435,1.130212799878791
88,0.4,5,log2,0.3110185716218964,0.038767448178157735,1.0256956999655813
89,0.4,5,,0.29458314191967794,0.03939478941041965,3.253776000114158
90,0.4,6,sqrt,0.318748198192382,0.037848005787361715,2.267354799900204
91,0.4,6,log2,0.32931012284825123,0.03751606389168839,2.2262184999417514
92,0.4,6,,0.296256597906716,0.038800300573040784,6.49551249993965
93,0.4,7,sqrt,0.33458733033563237,0.03702764286185144,3.6986090999562293
94,0.4,7,log2,0.3326586827822414,0.037044598608958895,3.8840855001471937
95,0.4,7,,0.30455361176266504,0.03816268905594441,14.232818699907511
